nombre,usuario,fecha,texto,emoticon,cantidad_comentarios,cantidad_likes,Cantidad_Retweets
Ing Rodolfo Hernandez !,@ingrodolfohdez,2020-12-31T18:56:01.000Z,¡FELIZ AÑO NUEVO PARA TODOS! ,,17,32,231,https://twitter.com/ingrodolfohdez/status/1344718974903328769
Ing Rodolfo Hernandez !,@ingrodolfohdez,2020-12-29T16:46:53.000Z,Los políticos reciben el doble del ajuste del salario de lo que reciben los pobres ¡puro neoliberalismo y cero justicia social! Es un contrasentido por que con eso matan la demanda y paralizan la economía ¡son brutos!,,30,91,377,https://twitter.com/ingrodolfohdez/status/1343961698995220483
Ing Rodolfo Hernandez !,@ingrodolfohdez,2020-12-27T17:40:28.000Z,"Dra 
@RojasSaharay
 una sola pregunta quiero que conteste hoy ¿el 26 de diciembre del 2020 usted participó en la plenaria del 
@concejobucara
 desde Bucaramanga o no? Art. 23 de la C.N. 
@AlcaldiaBGA
 @PGN_COL",,14,39,96,https://twitter.com/ingrodolfohdez/status/1343250407720706048
Ing Rodolfo Hernandez !,@ingrodolfohdez,2020-12-24T22:55:08.000Z,¡FELIZ NAVIDAD PARA TODOS!,,14,24,176,https://twitter.com/ingrodolfohdez/status/1342242435599114240
Ing Rodolfo Hernandez !,@ingrodolfohdez,2020-12-24T00:10:08.000Z,"LOS COLOMBIANOS QUE VIVIMOS DE LO QUE PRODUCIMOS, QUE VIVIMOS DE NUESTRO TRABAJO, QUE INVERTIMOS EN EL PAÍS, NOS MERECEMOS UNA COLOMBIA MEJOR ",,12,35,207,https://twitter.com/ingrodolfohdez/status/1341898919064850432
Ing Rodolfo Hernandez !,@ingrodolfohdez,2020-11-30T16:35:13.000Z,"El día de hoy acompañé al diputado de la 
@LigaGobernantes
 Jonathan Duarte en su acto de posesión como segundo vicepresidente de la mesa directiva de la 
@asambleastder
. Espero que este paso sirva para un efectivo control político en la 
@GobdeSantander
.",,5,4,43,https://twitter.com/ingrodolfohdez/status/1333449517677633544
Ing Rodolfo Hernandez !,@ingrodolfohdez,2020-11-28T23:16:14.000Z,¡CON ESTE SI! ¡CON ESTE NO!,,18,32,153,https://twitter.com/ingrodolfohdez/status/1332825659085885441
Ing Rodolfo Hernandez !,@ingrodolfohdez,2020-11-28T01:38:51.000Z,"Compartiendo futuro con la senadora 
@AngelicaLozanoCAngélica Lozano Correa
@AngelicaLozanoC
 · 27 nov. 2020
Recorrí con el @ingrodolfohdez 4 parques espectaculares que hizo como alcalde de Bucaramanga. 

Reivindica la arquitectura y el diseño urbano para transformar entornos y comportamiento ciudadano.",,10,8,105,https://twitter.com/ingrodolfohdez/status/1332499163062341636
Ing Rodolfo Hernandez !,@ingrodolfohdez,2020-11-25T18:21:30.000Z,"Cada año 
@HGconstructora
 envía a sus mejores trabajadores de vacaciones a E.E.U.U. con todo incluido, como premio a su esfuerzo, dedicación y entrega. Pese a la situación del covid, este año no sería la excepción ¡queremos que sepan que ellos son el corazón de la empresa! ",,27,23,226,https://twitter.com/ingrodolfohdez/status/1331664322033033219
Ing Rodolfo Hernandez !,@ingrodolfohdez,2020-11-25T18:03:12.000Z,El fútbol está de luto #AdiosDiego #Maradona,,,4,100,https://twitter.com/ingrodolfohdez/status/1331659717886750722
Ing Rodolfo Hernandez !,@ingrodolfohdez,2020-11-21T16:27:35.000Z,"Bueno, y ¿porqué no pasó a saludar?",,19,10,114,https://twitter.com/ingrodolfohdez/status/1330186104323141632
Ing Rodolfo Hernandez !,@ingrodolfohdez,2020-11-20T18:36:39.000Z,#LoDijoElInge,,8,13,92,https://twitter.com/ingrodolfohdez/status/1329856196564705282
Ing Rodolfo Hernandez !,@ingrodolfohdez,2020-11-17T23:29:29.000Z,QUIERO HACER UN LLAMADO A LA SOLIDARIDAD CON TODOS LOS COLOMBIANOS QUE EN ESTOS MOMENTOS ESTÁN SUFRIENDO LAS CONSECUENCIAS DE LLUVIAS Y VIENTOS HURACANADOS. AQUÍ DEJO UNAS IMÁGENES CON LA INFORMACIÓN PARA REALIZAR LAS DONACIONES ,,7,10,57,https://twitter.com/ingrodolfohdez/status/1328842728831115268
Ing Rodolfo Hernandez !,@ingrodolfohdez,2020-11-07T15:05:03.000Z,"La 
@AlcaldiaBGA
 cerrada. Los institutos descentralizados cerrados. Las oficinas para atender a los ciudadanos cerradas y aún así, en vez de disminuirse el gasto en contratación, el gobierno de 
@JCardenasRey
 sigue aumentando la contratación con el dinero de los contribuyentes.",,26,22,98,https://twitter.com/ingrodolfohdez/status/1325091904283955200
Ing Rodolfo Hernandez !,@ingrodolfohdez,2020-11-05T14:33:28.000Z,"""Rodolfo Hernández revela su estrategia para las presidenciales 2022"":  
@ELTIEMPO
   https://eltiempo.com/colombia/santander/rodolfo-hernandez-revela-su-estrategia-para-las-presidenciales-2022-547072… a través de 
@eltiempoEl plan de Rodolfo Hernández para ganar la Presidencia en el 2022
Rodolfo Hernández revela su estrategia para las presidenciales 2022
eltiempo.com",,13,25,123,https://twitter.com/ingrodolfohdez/status/1324359177708470273
Ing Rodolfo Hernandez !,@ingrodolfohdez,2020-11-03T18:06:15.000Z,¡ÚNASE A LA LÍNEA RODOLFISTA! y ayudemos a difundir el contenido de *El Ingeniero* para que más personas conozcan su mensaje Dando clic aquí > https://wa.me/message/QQS6QL3VHFZCL1…,,21,29,131,https://twitter.com/ingrodolfohdez/status/1323687951541374976
Ing Rodolfo Hernandez !,@ingrodolfohdez,2020-10-31T21:02:32.000Z,A pesar de las diferencias que tuvimos con Horacio Serpa lo respeto como ser humano y como un liberal auténtico y reconozco el interés por las causas sociales que siempre tuvo en su carrera política QEPD.,,11,27,315,https://twitter.com/ingrodolfohdez/status/1322645151739760641
Ing Rodolfo Hernandez !,@ingrodolfohdez,2020-10-31T20:48:53.000Z,"DESPLAZADOS1:51
1,2 mil reproducciones",,6,9,33,https://twitter.com/ingrodolfohdez/status/1322641717233942529
Ing Rodolfo Hernandez !,@ingrodolfohdez,2020-10-30T23:25:55.000Z,¡SUBIENDO! SEGÚN DOS ENCUESTAS RECIENTES.,,9,32,143,https://twitter.com/ingrodolfohdez/status/1322318847190380544
Ing Rodolfo Hernandez !,@ingrodolfohdez,2020-10-29T15:53:14.000Z,"Cuando no se roban la plata, se puede invertir en escenarios de talla mundial para que nuestros deportistas también tengan la oportunidad de ser de talla mundial.",,16,43,314,https://twitter.com/ingrodolfohdez/status/1321842539691974659
Ing Rodolfo Hernandez !,@ingrodolfohdez,2020-10-27T02:05:40.000Z,"¿QUIEREN SABER CUÁL ES EL NUEVO EMPRENDIMIENTO DE LA EX ESPOSA DE JUAN CARLOS CÁRDENAS EL ALCALDE DE BUCARAMANGA? Conózcalo aquí GLIFOSATO PARA EL DESAYUNO
Powered by Restream https://restream.io/
youtube.com",,7,11,41,https://twitter.com/ingrodolfohdez/status/1320909498656182273
Ing Rodolfo Hernandez !,@ingrodolfohdez,2020-10-26T12:03:36.000Z,"Los espero hoy lunes 26 de Octubre, en el programa En Vivo  “Hable con el Ingeniero” a las 7:30 p.m. en todas mis redes sociales.",,8,12,73,https://twitter.com/ingrodolfohdez/status/1320697586702028804
Ing Rodolfo Hernandez !,@ingrodolfohdez,2020-10-03T22:17:28.000Z,"5 EXPRESIDENTES A JUICIO 

Ampliaremos este tema el próximo lunes 5 de octubre a las 7:30 pm, en mi programa en vivo ""Hable con el Ingeniero"" en todas mis redes sociales, ¡los espero!",,3,17,55,https://twitter.com/ingrodolfohdez/status/1312517148317638656
Ing Rodolfo Hernandez !,@ingrodolfohdez,2020-10-03T21:22:44.000Z,"Dentro de esta larga lucha por la defensa del Páramo de #Santurbán, hemos dado un importante paso como sociedad. Esto aún no se ha terminado y por eso debemos seguir concentrados en la tarea de defender nuestros recursos. El día martes los acompañaré con más fuerza que núnca.",,1,38,188,https://twitter.com/ingrodolfohdez/status/1312503374206574592
Ing Rodolfo Hernandez !,@ingrodolfohdez,2020-10-03T00:18:07.000Z,"BOLILLO O BALA

Ampliaremos este tema el próximo lunes 5 de octubre a las 7:30 pm, en mi programa en vivo ""Hable con el Ingeniero"" en todas mis redes sociales, ¡los espero!

 #Quino #QuinoEterno #Mafalda",,4,10,43,https://twitter.com/ingrodolfohdez/status/1312185123245182977
Ing Rodolfo Hernandez !,@ingrodolfohdez,2020-10-02T23:39:42.000Z,Colombia celebra hoy el día del Boyacensismo. A todos los boyacences les envío un gran abrazo y mis más fervorosos deseos de bienestar para seguir viendo grande a su tierra. #Boyaca Tierra de gente trabajadora y orgullosa de su historia.,,9,40,237,https://twitter.com/ingrodolfohdez/status/1312175456951521280
